IesCd;IesNome;IesSigla;IesSiglaAgrupada;NaturezaJuridica;NaturezaJuridicaMEC;Comunitária;Filantrópica;Confessional;MunicipioCdCompleto
11001011;UNIVERSIDADE FEDERAL DO ACRE;UFAC;UFAC;Pública Federal;Pública Federal;;;;1200401
26001012;UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;UFAL;Pública Federal;Pública Federal;;;;2700300
32032013;CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA;CES/JF;CES/JF;Particular;Privada sem fins lucrativos;;;;3136702
27011003;CENTRO UNIVERSITÁRIO TIRADENTES;UNIT/Alagoas;UNIT/Alagoas;Particular;Privada com fins lucrativos;;;;2704302
26005018;UNIVERSIDADE ESTADUAL DE ALAGOAS;UNEAL;UNEAL;Pública Estadual;Pública Estadual;;;;2700300
12001015;Universidade Federal do Amazonas;UFAM;UFAM;Pública Federal;Pública Federal;;;;1301902
25019015;CENTRO DE ESTUDOS E SISTEMAS AVANÇADOS DO RECIFE;CESAR;CESAR;Particular;Privada sem fins lucrativos;;;;2611606
12002011;INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA;INPA;INPA;Pública Federal;Pública Federal;;;;1302603
12008010;UNIVERSIDADE DO ESTADO DO AMAZONAS;UEA;UEA;Pública Estadual;Pública Estadual;;;;1302603
12003018;INSTITUTO FEDERAL DE EDUC., CIÊNCIA E TECNOLOGIA DO AMAZONAS;IFAM;IFAM;Pública Federal;Pública Federal;;;;1302603
13009001;Centro de Pesquisa Leônidas e Maria Deane/FIOCRUZ;CPqLMD/FIOCRUZ;FIOCRUZ;Pública Federal;Pública Federal;;;;1302603
13012002;CESAR CENTRO DE ESTUDOS E SISTEMAS AVANCADOS DO RECIFE;CESAR-AM;CESAR-AM;Particular;Privada sem fins lucrativos;;;;1302603
14001012;UNIVERSIDADE FEDERAL DO AMAPÁ;UNIFAP;UNIFAP;Pública Federal;Pública Federal;;;;1600303
28006011;UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA;UESB;UESB;Pública Estadual;Pública Estadual;;;;2916401
28001010;UNIVERSIDADE FEDERAL DA BAHIA;UFBA;UFBA;Pública Federal;Pública Federal;;;;2927408
28005015;UNIVERSIDADE DO ESTADO DA BAHIA;UNEB;UNEB;Pública Estadual;Pública Estadual;;;;2900702
28013018;UNIVERSIDADE SALVADOR;UNIFACS;UNIFACS;Particular;Privada com fins lucrativos;;;;2927408
29002001;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO;IFBAIANO;IFBAIANO;Pública Federal;Pública Federal;;;;2927408
31066011;FUNDAÇÃO CESGRANRIO;CESGRANRIO;CESGRANRIO;Particular;Privada sem fins lucrativos;;SIM;;3304557
28010019;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA;IFBA;IFBA;Pública Federal;Pública Federal;;;;2927408
26006014;CENTRO DE ESTUDOS SUPERIORES DE MACEIÓ;CESMAC;CESMAC;Particular;Privada sem fins lucrativos;;;;2704302
28024010;FACULDADE DE TECNOLOGIA E CIÊNCIAS;FTC;FTC;Particular;Privada com fins lucrativos;;;;2927408
15013014;CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ;CESUPA;CESUPA;Particular;Privada sem fins lucrativos;;;;1501402
28025016;CENTRO DE PESQUISA GONÇALO MONIZ - FIOCRUZ;CPqGM;FIOCRUZ;Pública Federal;Pública Federal;;;;2927408
25020013;UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO;UNIVASF;UNIVASF;Pública Federal;Pública Federal;;;;2611101
28007018;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;UESC;Pública Estadual;Pública Estadual;;;;2913606
29010004;Faculdade Guanambi;FG;FG;Particular;Privada com fins lucrativos;;;;2911709
