NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,65,Infraestrutura,A instituição contou com biblioteca virtual ou conferiu acesso a obras disponíveis em acervos virtuais.,5.913793103448277,58,1
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.868852459016393,61,1
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,59,Infraestrutura,A instituição dispôs de quantidade suficiente de funcionários para o apoio administrativo e acadêmico.,5.844827586206897,58,1
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,68,Infraestrutura,"A instituição dispôs de refeitório, cantina e banheiros em condições adequadas que atenderam as necessidades dos seus usuários.",5.836065573770491,61,1
Ciência Da Computação (Bacharelado) (62484),UFAM,AM,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.830188679245283,53,2
Ciência Da Computação (Bacharelado) (19047),UNIPÊ,PB,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.811320754716982,53,3
Ciência Da Computação (Bacharelado) (19641),FMU,SP,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.8,60,1
Ciência Da Computação (Bacharelado) (62484),UFAM,AM,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.7924528301886795,53,1
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,54,Curso em geral,"Os estudantes participaram de avaliações periódicas do curso (disciplinas, atuação dos professores, infraestrutura).",5.783333333333333,60,1
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,64,Infraestrutura,A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,5.783333333333333,60,1
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,60,Curso em geral,O curso disponibilizou monitores ou tutores para auxiliar os estudantes.,5.762711864406779,59,1
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.762711864406779,59,1
Ciência Da Computação (Bacharelado) (3676),FURB,SC,58,"Ensino, apoio e avaliacão","Os professores utilizaram tecnologias da informação e comunicação (TICs) como estratégia de ensino (projetor multimídia, laboratório de informática, ambiente virtual de aprendizagem).",5.754098360655738,61,4
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.75,60,2
Ciência Da Computação (Bacharelado) (19641),FMU,SP,65,Infraestrutura,A instituição contou com biblioteca virtual ou conferiu acesso a obras disponíveis em acervos virtuais.,5.7457627118644075,59,2
Ciência Da Computação (Bacharelado) (17937),UNESC,SC,45,Curso em geral,O curso ofereceu condições para os estudantes participarem de eventos internos e/ou externos à instituição.,5.733333333333333,60,1
Ciência Da Computação (Bacharelado) (19641),FMU,SP,68,Infraestrutura,"A instituição dispôs de refeitório, cantina e banheiros em condições adequadas que atenderam as necessidades dos seus usuários.",5.733333333333333,60,2
