NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,TP_INSCRICAO_ADM,TP_INSCRICAO,TP_PRES,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,NOME_CURSO,Código Mantenedora,CNPJ,Natureza Jurídica,Instituição(IES),Sigla,Endereço,Município,UF,Organização Acadêmica,Categoria,Categoria Administrativa,IGC,Ano IGC
2017,550,2,10028,1402,11590,1,2504009,25,2,24,M,2011,2013,4,0,1,555,555,555,555,65.6,60,100,0,0,0,0,0,0,0,67.5,70,53.3,70,70,20,C,C,B,B,B,B,A,D,D,A,A,A,B,C,B,E,A,C,B,A,A,B,A,A,25,A,A,A,C,B,C,B,E,E,F,5,5,6,6,5,5,6,4,5,5,5,5,6,5,5,5,7,6,5,7,5,3,4,6,5,3,3,4,5,5,5,5,5,4,4,4,4,5,5,5,4,4,Física (Licenciatura),382,12.671.814/0001-37,Pessoa Jurídica de Direito Público - Estadual,UNIVERSIDADE ESTADUAL DA PARAÍBA (UEPB),UEPB,Avenida das Baraúnas - 351 - s/c - CEP: 58109-763 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Estadual,3,2016
2017,550,2,10028,1402,11590,1,2504009,25,2,22,M,2012,2013,4,0,1,555,555,555,555,55.7,61.5,62.5,60,53,65,50,67,55,70,53.8,55,46.7,40,60,40,C,C,C,B,A,B,B,D,D,A,D,A,D,F,B,D,B,B,A,A,A,B,A,A,25,A,B,B,C,A,B,C,A,E,I,5,6,6,5,6,6,6,4,6,5,6,5,5,7,6,6,6,6,4,7,5,4,5,6,6,7,7,6,6,5,6,4,5,5,6,4,4,5,7,7,6,6,Física (Licenciatura),382,12.671.814/0001-37,Pessoa Jurídica de Direito Público - Estadual,UNIVERSIDADE ESTADUAL DA PARAÍBA (UEPB),UEPB,Avenida das Baraúnas - 351 - s/c - CEP: 58109-763 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Estadual,3,2016
2017,550,2,10028,1402,11590,1,2504009,25,2,28,F,2007,2010,4,0,1,555,555,555,555,30.6,45.9,37.5,58.5,49,45,50,68,60,70,25.5,30,0,0,0,0,C,C,A,B,*,C,C,C,C,B,D,A,B,E,C,D,A,B,A,A,F,A,A,A,25,A,A,B,G,A,B,C,E,A,A,6,6,5,6,6,5,6,6,5,6,6,6,6,5,5,6,5,6,6,3,6,6,6,6,6,5,8,6,6,5,6,6,5,6,5,5,5,6,5,6,5,5,Física (Licenciatura),382,12.671.814/0001-37,Pessoa Jurídica de Direito Público - Estadual,UNIVERSIDADE ESTADUAL DA PARAÍBA (UEPB),UEPB,Avenida das Baraúnas - 351 - s/c - CEP: 58109-763 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Estadual,3,2016
2017,550,2,10028,1402,11590,1,2504009,25,2,30,M,2005,2012,4,0,1,555,333,555,555,28.6,37.9,37.5,38.5,53,65,50,24,40,20,25.5,30,0,0,0,0,C,C,C,C,B,C,D,B,C,B,A,A,B,C,C,B,D,E,E,A,A,A,A,A,25,A,A,F,G,A,A,B,E,H,F,3,5,5,5,3,5,5,3,5,5,6,5,5,3,5,6,2,2,4,3,4,2,5,5,5,1,1,5,5,5,5,5,5,4,6,3,3,5,5,5,4,5,Física (Licenciatura),382,12.671.814/0001-37,Pessoa Jurídica de Direito Público - Estadual,UNIVERSIDADE ESTADUAL DA PARAÍBA (UEPB),UEPB,Avenida das Baraúnas - 351 - s/c - CEP: 58109-763 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Estadual,3,2016
2017,550,2,10028,1402,11590,1,2504009,25,2,23,M,2012,2013,4,0,1,555,555,555,555,46.2,67.7,62.5,75.5,77,65,80,74,70,75,39,40,33.3,30,30,40,B,C,C,A,B,B,B,D,C,A,D,A,A,A,B,F,B,E,D,A,A,F,A,A,25,A,A,B,G,B,E,C,E,E,F,5,5,5,4,6,5,6,5,5,5,5,5,5,5,4,6,5,5,4,4,4,3,5,6,5,5,5,5,5,5,6,5,5,5,4,3,3,3,4,5,3,5,Física (Licenciatura),382,12.671.814/0001-37,Pessoa Jurídica de Direito Público - Estadual,UNIVERSIDADE ESTADUAL DA PARAÍBA (UEPB),UEPB,Avenida das Baraúnas - 351 - s/c - CEP: 58109-763 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Estadual,3,2016
2017,550,2,10028,1402,11590,1,2504009,25,2,26,F,2007,2010,3,0,1,555,555,555,555,30.5,59.5,62.5,55,57,65,55,53,65,50,20.8,20,25,10,5,60,C,D,C,A,B,C,B,D,C,B,A,A,B,F,C,A,C,C,A,A,A,C,A,A,25,A,A,B,C,A,C,D,D,E,F,6,6,6,6,6,6,6,6,5,5,5,5,5,5,6,6,5,5,5,5,6,4,5,6,6,4,2,5,5,5,5,6,5,6,5,5,6,6,6,6,5,6,Física (Licenciatura),382,12.671.814/0001-37,Pessoa Jurídica de Direito Público - Estadual,UNIVERSIDADE ESTADUAL DA PARAÍBA (UEPB),UEPB,Avenida das Baraúnas - 351 - s/c - CEP: 58109-763 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Estadual,3,2016
2017,550,2,10028,1402,11590,1,2504009,25,2,22,F,2011,2013,3,0,1,555,555,336,555,25.6,50,50,50,53,65,50,47,55,45,17.5,20,3.3,0,0,10,C,C,C,B,B,D,A,C,C,B,F,A,A,A,C,B,B,A,A,A,A,F,A,D,25,A,B,B,A,B,A,E,A,G,A,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4,5,5,1,5,4,4,Física (Licenciatura),382,12.671.814/0001-37,Pessoa Jurídica de Direito Público - Estadual,UNIVERSIDADE ESTADUAL DA PARAÍBA (UEPB),UEPB,Avenida das Baraúnas - 351 - s/c - CEP: 58109-763 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Estadual,3,2016
2017,550,2,10028,1402,11590,1,2504009,25,2,22,F,2012,2013,3,0,1,555,555,555,555,34.4,63.3,62.5,64.5,74,70,75,55,75,50,24.7,25,23.3,10,0,60,C,C,C,A,A,C,B,D,C,B,A,A,D,D,C,C,A,B,A,A,A,B,A,D,25,A,A,B,C,B,A,C,A,E,F,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,7,6,5,5,6,6,6,6,6,6,6,6,4,6,6,5,5,5,6,6,6,7,6,Física (Licenciatura),382,12.671.814/0001-37,Pessoa Jurídica de Direito Público - Estadual,UNIVERSIDADE ESTADUAL DA PARAÍBA (UEPB),UEPB,Avenida das Baraúnas - 351 - s/c - CEP: 58109-763 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Estadual,3,2016
2017,550,2,10028,1402,11590,1,2504009,25,2,22,M,2012,2013,4,0,1,555,336,336,555,62,94.8,100,87,98,90,100,76,80,75,51,60,0,0,0,0,C,D,A,B,A,C,A,D,E,A,A,A,B,B,B,E,A,D,E,A,A,D,A,A,25,A,A,B,C,B,A,C,A,E,A,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,5,4,4,4,4,5,5,4,4,6,5,5,6,5,6,5,5,4,4,5,2,4,4,4,Física (Licenciatura),382,12.671.814/0001-37,Pessoa Jurídica de Direito Público - Estadual,UNIVERSIDADE ESTADUAL DA PARAÍBA (UEPB),UEPB,Avenida das Baraúnas - 351 - s/c - CEP: 58109-763 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Estadual,3,2016
2017,550,2,10028,1402,11590,1,2504009,25,2,29,M,2007,2011,4,0,1,555,555,555,555,13.2,11.4,0,28.5,31,55,25,26,50,20,13.8,15,6.7,0,0,20,C,C,D,B,B,C,B,D,C,A,D,B,B,B,C,C,A,B,A,A,A,A,A,D,25,A,A,B,C,B,C,C,A,C,A,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,2,5,6,6,6,5,5,4,5,4,5,6,5,6,5,6,Física (Licenciatura),382,12.671.814/0001-37,Pessoa Jurídica de Direito Público - Estadual,UNIVERSIDADE ESTADUAL DA PARAÍBA (UEPB),UEPB,Avenida das Baraúnas - 351 - s/c - CEP: 58109-763 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Estadual,3,2016
2017,550,2,10028,1402,11590,1,2504009,25,2,32,F,2005,2013,4,0,1,555,555,333,555,28.5,70,75,62.5,57,85,50,68,40,75,14.7,15,13.3,0,0,40,C,C,C,A,A,C,B,D,D,A,D,A,A,A,B,D,A,F,E,A,A,A,A,A,25,A,A,B,C,A,C,D,E,A,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,3,3,3,6,6,6,6,6,3,3,6,5,6,6,6,6,3,6,6,6,6,5,6,6,6,Física (Licenciatura),382,12.671.814/0001-37,Pessoa Jurídica de Direito Público - Estadual,UNIVERSIDADE ESTADUAL DA PARAÍBA (UEPB),UEPB,Avenida das Baraúnas - 351 - s/c - CEP: 58109-763 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Estadual,3,2016
2017,550,2,10028,1402,11590,1,2504009,25,2,22,F,2011,2012,3,0,1,555,555,555,555,24.1,27.3,12.5,49.5,48,80,40,51,75,45,23,20,40,0,50,70,D,D,A,D,D,D,B,D,E,A,F,A,D,D,B,C,A,C,C,A,A,F,A,D,25,A,A,A,C,B,B,D,A,E,A,6,6,6,6,5,6,6,6,6,6,4,4,4,4,6,6,4,4,6,6,8,8,6,6,6,1,1,6,4,6,6,4,4,8,1,1,1,4,8,8,1,1,Física (Licenciatura),382,12.671.814/0001-37,Pessoa Jurídica de Direito Público - Estadual,UNIVERSIDADE ESTADUAL DA PARAÍBA (UEPB),UEPB,Avenida das Baraúnas - 351 - s/c - CEP: 58109-763 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Estadual,3,2016
2017,550,2,10028,1402,11590,1,2504009,25,2,35,M,2002,2015,4,0,1,555,555,336,555,41.3,58.8,50,72,73,65,75,71,55,75,35.5,40,10,30,0,0,C,D,D,C,A,B,A,C,C,B,D,A,B,B,C,D,A,F,E,A,A,A,A,A,25,A,A,A,K,A,C,D,E,E,A,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Física (Licenciatura),382,12.671.814/0001-37,Pessoa Jurídica de Direito Público - Estadual,UNIVERSIDADE ESTADUAL DA PARAÍBA (UEPB),UEPB,Avenida das Baraúnas - 351 - s/c - CEP: 58109-763 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Estadual,3,2016
2017,550,2,10028,1402,11590,1,2504009,25,2,25,M,2010,2011,3,0,1,555,555,555,555,35.7,56.4,50,66,63,75,60,69,65,70,28.8,25,50,60,30,60,B,C,C,B,B,B,B,D,B,A,B,A,C,B,B,D,A,B,A,A,A,C,A,D,25,A,A,B,A,B,A,B,E,E,A,6,6,4,5,6,5,4,5,6,5,5,5,4,5,3,4,6,6,5,5,5,6,5,5,6,4,2,7,5,4,5,5,6,5,6,6,6,6,5,5,5,3,Física (Licenciatura),382,12.671.814/0001-37,Pessoa Jurídica de Direito Público - Estadual,UNIVERSIDADE ESTADUAL DA PARAÍBA (UEPB),UEPB,Avenida das Baraúnas - 351 - s/c - CEP: 58109-763 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Estadual,3,2016
2017,550,2,10028,1402,11590,1,2504009,25,2,28,M,2007,2009,3,0,1,555,336,555,555,31.5,57.5,62.5,50,59,55,60,41,25,45,22.8,25,10,0,0,30,C,C,C,B,B,B,B,D,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Física (Licenciatura),382,12.671.814/0001-37,Pessoa Jurídica de Direito Público - Estadual,UNIVERSIDADE ESTADUAL DA PARAÍBA (UEPB),UEPB,Avenida das Baraúnas - 351 - s/c - CEP: 58109-763 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Estadual,3,2016
2017,550,2,10028,1402,11590,1,2504009,25,2,39,M,1995,2015,4,0,1,555,555,555,555,54.2,65.1,62.5,69,71,75,70,67,55,70,50.5,55,25,0,15,60,C,D,D,A,B,B,B,D,D,A,A,A,C,D,B,C,B,B,A,A,A,A,A,A,35,E,B,B,C,B,B,B,A,E,A,5,5,5,5,5,4,6,6,5,5,4,5,6,3,3,5,4,3,5,3,5,5,5,5,6,1,1,4,4,1,6,4,5,1,5,3,3,4,1,5,5,6,Física (Licenciatura),382,12.671.814/0001-37,Pessoa Jurídica de Direito Público - Estadual,UNIVERSIDADE ESTADUAL DA PARAÍBA (UEPB),UEPB,Avenida das Baraúnas - 351 - s/c - CEP: 58109-763 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Estadual,3,2016
