NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,NT_GER,NT_FG,NT_CE,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81,NOME_CURSO,Código Mantenedora,CNPJ,Natureza Jurídica,Instituição(IES),Sigla,Endereço,Município,UF,Organização Acadêmica,Categoria,Categoria Administrativa,IGC,Ano IGC
2017,3304,4,10022,2001,4186,1,2510808,25,2,29,2007,2008,4,76.9,84.6,74.3,B,A,A,B,D,A,A,B,D,A,C,A,A,A,A,25,A,A,B,A,A,B,C,E,A,G,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,D,C,G,G,A,A,B,B,C,A,A,A,A,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,28,2008,2014,4,28.7,25.2,29.8,A,F,A,A,B,B,D,A,E,E,E,A,A,A,A,25,A,C,B,A,B,D,B,E,E,I,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6,6,6,6,8,8,6,6,8,6,6,6,7,6,6,6,6,6,6,6,6,B,D,B,B,D,A,B,C,D,A,C,A,A,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,32,2009,2010,4,17.9,27.2,14.8,A,D,A,A,C,C,D,A,A,A,B,A,A,A,A,25,A,C,A,A,B,B,A,E,C,C,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4,4,5,3,6,6,6,6,6,8,8,5,6,5,6,6,6,5,6,6,6,6,6,6,6,6,A,B,B,B,A,C,B,C,A,A,A,A,A,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,35,2008,2013,4,37.6,47.5,34.3,C,C,A,B,B,B,F,B,C,E,E,A,A,A,A,26,A,C,B,H,B,D,B,E,A,F,6,6,1,1,6,6,6,6,6,6,6,3,6,6,6,6,1,1,1,1,6,6,3,6,6,1,1,6,4,6,6,6,6,6,1,6,6,3,4,4,1,6,A,A,B,A,A,A,A,A,A,B,A,B,B,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,21,2012,2014,4,53,48.7,54.4,A,D,A,D,D,B,D,A,A,A,E,A,A,A,A,25,A,A,A,A,A,C,C,E,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,5,6,6,6,6,6,6,6,6,6,6,4,6,6,5,A,A,I,I,A,A,A,A,A,A,A,A,A,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,50,1985,2015,4,43.8,52.3,41,A,D,A,A,A,B,C,C,E,E,H,A,A,A,A,25,D,A,D,A,A,E,D,E,E,F,6,5,5,6,5,6,5,4,6,5,5,6,6,5,6,6,3,5,6,7,6,6,6,6,6,7,7,6,6,6,6,6,6,4,6,6,6,6,7,6,6,5,A,A,B,D,A,D,B,C,A,B,B,A,A,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,26,2008,2014,4,51,57.1,48.9,A,D,A,A,B,B,E,A,E,C,E,A,A,A,C,26,A,C,B,C,B,E,C,E,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,A,A,B,B,A,A,B,D,A,A,A,A,B,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,25,2011,2012,4,38.1,49.9,34.1,A,D,A,A,D,C,C,A,F,D,B,A,A,A,A,26,A,C,B,A,B,D,B,E,A,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,6,6,6,6,5,6,6,6,6,6,4,6,6,6,6,A,B,A,B,A,A,B,C,A,A,A,A,B,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,24,2010,2014,4,43.9,52.1,41.2,B,D,A,E,B,C,B,A,A,A,E,A,A,A,A,25,A,A,B,C,B,C,B,E,A,E,6,4,2,1,5,3,6,5,6,5,4,3,4,2,2,4,1,1,2,1,4,5,4,4,5,1,1,4,3,3,4,2,5,3,1,5,1,2,1,6,2,1,C,D,C,B,A,A,B,C,D,B,C,B,B,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
2017,3304,4,10022,2001,4186,1,2510808,25,2,44,1995,2014,4,65.9,60.3,67.7,B,A,A,B,B,C,B,D,C,C,B,A,A,A,A,25,A,C,C,K,A,D,C,E,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,6,4,6,6,6,6,6,1,1,6,6,6,6,6,6,6,6,6,6,3,2,6,6,6,A,A,G,F,A,A,B,C,A,A,A,A,A,Pedagogia (Licenciatura),16265,19.768.173/0001-82,Privada com fins lucrativos,FACULDADES INTEGRADAS DE PATOS (FIP),FIP,Rua Horácio Nóbrega - s/n - s/c - CEP: 58704-000 - Belo Horizonte,Patos,PB,Faculdade,Privada,Privada com fins lucrativos,3,2016
