NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,TP_INSCRICAO_ADM,TP_INSCRICAO,TP_PRES,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,NOME_CURSO,Código Mantenedora,CNPJ,Natureza Jurídica,Instituição(IES),Sigla,Endereço,Município,UF,Organização Acadêmica,Categoria,Categoria Administrativa,IGC,Ano IGC
2017,2564,1,10028,2402,13405,1,2503704,25,2,24,F,2010,2014,1,0,1,555,555,555,555,36.4,45.6,25,76.5,58,70,55,95,75,100,33.3,33.3,33.3,0,0,100,C,C,B,B,B,C,B,B,D,A,C,A,B,B,B,C,A,B,A,A,A,A,A,A,24,A,A,B,C,A,B,B,E,H,F,6,3,6,5,6,5,5,6,5,5,4,4,5,4,5,6,4,4,4,2,5,5,5,6,5,1,1,3,4,2,4,5,5,6,4,4,4,5,2,5,4,4,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,23,M,2013,2014,1,0,1,555,555,555,555,66.3,78.8,75,84.5,95,75,100,74,70,75,62.1,58.3,83.3,75,75,100,C,C,B,B,B,C,B,D,D,A,D,A,B,B,B,E,A,A,A,H,E,D,A,A,23,A,A,A,G,B,E,B,E,E,F,6,5,6,4,6,5,6,6,6,5,3,4,5,4,6,6,5,5,4,4,4,5,6,6,4,3,1,5,3,4,6,2,4,5,4,3,3,1,2,6,6,4,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,24,M,2010,2013,1,0,1,555,555,555,555,27.3,48.5,37.5,65,77,65,80,53,65,50,20.2,20.8,16.7,0,25,25,C,D,C,A,A,C,B,B,C,A,A,A,D,D,B,D,A,B,A,A,A,F,A,A,25,A,A,B,A,B,C,C,E,E,F,5,5,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,7,4,3,5,5,7,7,7,5,5,5,6,5,5,6,4,7,7,4,7,5,5,5,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,21,F,2013,2014,1,0,1,555,333,555,555,54.6,68.9,62.5,78.5,65,65,65,92,60,100,49.8,54.2,25,0,25,50,C,C,B,C,C,C,B,D,D,A,A,A,C,B,B,E,B,B,A,A,A,C,A,A,25,B,A,B,E,A,E,C,E,H,A,4,4,4,4,5,5,6,5,6,5,4,5,5,4,5,5,5,4,4,4,4,4,4,5,7,8,8,4,4,3,4,3,4,4,3,4,3,3,7,6,4,4,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,24,M,2010,2013,4,0,1,555,555,555,555,34.8,48.9,37.5,66,61,45,65,71,75,70,30.1,33.3,11.7,0,0,35,D,D,C,C,D,D,B,D,D,A,D,A,C,D,B,F,A,B,A,A,A,A,A,A,25,A,A,B,C,A,C,C,E,G,A,4,2,1,5,5,3,5,6,3,4,3,3,4,1,2,4,5,5,6,4,6,2,4,3,2,1,1,2,3,4,5,3,5,3,2,2,2,5,2,5,3,6,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,33,M,2005,2011,4,0,1,555,555,555,555,44.2,51.7,37.5,73,74,90,70,72,60,75,41.7,45.8,18.3,20,25,10,D,C,C,A,A,C,B,B,D,A,D,A,D,B,B,E,A,C,E,A,A,A,A,A,25,A,A,A,K,B,C,B,E,H,C,8,7,6,3,6,4,5,3,5,4,2,3,1,2,1,5,1,2,5,1,1,1,1,4,8,1,1,1,1,2,6,2,2,4,1,1,1,2,1,1,1,4,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,28,F,2009,2010,4,0,1,555,336,336,336,34.1,30,50,0,0,0,0,0,0,0,35.4,41.7,0,0,0,0,D,D,B,A,A,B,C,C,D,A,D,A,A,A,C,E,A,B,A,A,A,A,A,A,25,A,A,B,C,B,D,B,E,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,8,8,6,6,6,6,6,5,5,2,2,2,5,8,6,5,6,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,21,M,2013,2014,1,0,1,555,333,555,555,38.9,59.4,50,73.5,75,75,75,72,80,70,32.1,33.3,25,0,25,50,C,C,B,B,B,C,B,D,D,A,A,A,E,C,B,D,C,C,D,A,A,D,A,D,25,A,A,A,G,A,E,B,A,E,A,6,6,5,6,6,5,6,6,6,6,5,6,5,6,6,5,6,6,5,6,5,6,5,6,6,5,6,5,6,6,5,5,5,5,5,5,5,5,6,5,5,5,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,23,F,2013,2014,1,0,1,555,555,333,333,47.6,62.2,50,80.5,69,65,70,92,60,100,42.7,45.8,25,75,0,0,A,C,A,B,D,C,C,D,E,A,D,A,D,B,B,H,C,B,A,A,C,C,A,A,25,A,A,B,A,A,B,B,E,H,A,5,6,5,6,5,6,6,6,5,6,4,5,4,3,6,5,6,5,4,6,3,3,5,6,8,3,2,4,3,4,5,4,3,5,3,8,8,3,4,6,4,3,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
2017,2564,1,10028,2402,13405,1,2503704,25,2,20,M,2013,2014,1,0,1,555,555,555,555,41.4,45.1,37.5,56.5,67,75,65,46,50,45,40.2,41.7,31.7,35,25,35,D,E,C,B,C,D,B,B,B,A,D,A,B,B,B,D,A,A,A,A,F,D,A,A,25,A,A,A,B,B,C,D,E,H,C,5,4,5,6,4,6,5,5,6,6,5,5,6,4,6,5,5,2,4,4,4,4,5,4,6,5,2,3,5,4,6,7,3,5,5,5,5,5,7,6,4,5,História (Licenciatura),14341,05.055.128/0001-76,Pessoa Jurídica de Direito Público - Federal,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE (UFCG),UFCG,Rua Aprígio Veloso - 882 - s/c - CEP: 58109-900 - Bodocongó,Campina Grande,PB,Universidade,Pública,Pública Federal,4,2016
