enunciado,pergunta,NOME_CURSO,resposta,n,perc,categoria,tipo
A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,64,Arquitetura e Urbanismo (1129147),1,1,0.02040816326530612,Infraestrutura,nota
A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,64,Arquitetura e Urbanismo (1129147),2,5,0.10204081632653061,Infraestrutura,nota
A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,64,Arquitetura e Urbanismo (1129147),3,8,0.16326530612244897,Infraestrutura,nota
A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,64,Arquitetura e Urbanismo (1129147),4,15,0.30612244897959184,Infraestrutura,nota
A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,64,Arquitetura e Urbanismo (1129147),5,18,0.3673469387755102,Infraestrutura,nota
A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,64,Arquitetura e Urbanismo (1129147),6,2,0.04081632653061224,Infraestrutura,nota
A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,64,Ciência Da Computação (Bacharelado) (13446),1,1,0.015625,Infraestrutura,nota
A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,64,Ciência Da Computação (Bacharelado) (13446),2,3,0.046875,Infraestrutura,nota
A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,64,Ciência Da Computação (Bacharelado) (13446),3,7,0.109375,Infraestrutura,nota
A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,64,Ciência Da Computação (Bacharelado) (13446),4,13,0.203125,Infraestrutura,nota
A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,64,Ciência Da Computação (Bacharelado) (13446),5,18,0.28125,Infraestrutura,nota
A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,64,Ciência Da Computação (Bacharelado) (13446),6,22,0.34375,Infraestrutura,nota
A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,64,Ciências Biológicas (Licenciatura) (1152882),1,1,0.03125,Infraestrutura,nota
