Código Mantenedora;Razão Social;CNPJ;Natureza Jurídica;Código IES;Instituição(IES);Sigla;Endereço;Município;UF;Organização Acadêmica;Tipo de Credenciamento;Categoria;Categoria Administrativa;CI;Ano CI;CI-EaD;Ano CI-EaD;IGC;Ano IGC;Situação
323;ASSOCIACAO BRASILEIRA DE ENSINO UNIVERSITARIO ABEU;30.831.606/0001-30;Privada sem fins lucrativos;2565;ABEU - CENTRO UNIVERSITÁRIO (UNIABEU);UNIABEU;Rua Itaiara - 301 - s/c - CEP: 26113-400 - Centro;Belford Roxo;RJ;Centro Universitário;Presencial - Superior;Privada;Privada sem fins lucrativos;4;2015;-;;3;2016;Ativa
16500;COMANDO DO EXERCITO;00.394.452/0270-52;Pessoa Jurídica de Direito Público - Federal;21095;Academia Militar das Agulhas Negras (AMAN);AMAN;AC Academia Militar de Agulhas Negras - 306 - s/c - CEP: 27534-970 - Independência;Resende;RJ;Faculdade;Presencial - Superior;Pública;Pública Federal;-;;-;;-;;Ativa
2371;INSTITUTO EDUCACIONAL ALMENARA LTDA - EPP;05.598.350/0001-15;Privada com fins lucrativos;3756;ALFA - Faculdade de Almenara;-;Rua Vereador Virgílio Mendes Lima - 847 - s/c - CEP: 39900-000 - São Pedro;Almenara;MG;Faculdade;EAD - Superior / Presencial - Superior;Privada;Privada com fins lucrativos;3;2013;3;2015;2;2016;Ativa
2371;INSTITUTO EDUCACIONAL ALMENARA LTDA - EPP;05.598.350/0001-15;Privada com fins lucrativos;18520;ALFA - Faculdade de Araçuai (ALFA-Araçuai);ALFA-Araçuai;Rua Dom Serafim - 435 - s/c - CEP: 39600-000 - Centro;Araçuaí;MG;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2015;-;;-;;Ativa
2371;INSTITUTO EDUCACIONAL ALMENARA LTDA - EPP;05.598.350/0001-15;Privada com fins lucrativos;18692;ALFA - Faculdade de Guanhães (ALFA - Gunhães);ALFA - Gunhães;Rua Wantuil Caldeira - 544 - s/c - CEP: 39740-000 - Expansão;Guanhães;MG;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2015;-;;-;;Ativa
16218;ATOPP BRASIL EDUCACIONAL S.A.;19.853.648/0001-39;Privada com fins lucrativos;19853;ATOPP BRASIL FACULDADE DE NEGÓCIOS (ATOPP BRASIL);ATOPP BRASIL;Rua Fortaleza - 91 - s/c - CEP: 86020-240 - Jardim Agari;Londrina;PR;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;3;2016;-;;-;;Ativa
1073;CETH CENTRO DE ESTUDOS TURISTICOS E HOTELEIROS LTDA;91.458.992/0001-50;Privada com fins lucrativos;1636;CASTELLI ESCOLA SUPERIOR DE HOTELARIA (CASTELLI ESH);CASTELLI ESH;Avenida Osvaldo Aranha - 994 - s/c - CEP: 95680-000 - Centro;Canela;RS;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;4;2015;-;;2;2011;Ativa
2545;INSTITUTO PADRE MACHADO;17.204.652/0001-40;Privada sem fins lucrativos;4053;CENTRO DE EDUCAÇÃO SUPERIOR BARNABITA (CESB);CESB;Avenida Contorno - 6.475 - s/c - CEP: 30110-039 - São Pedro;Belo Horizonte;MG;Faculdade;Presencial - Superior;Privada;Privada sem fins lucrativos;3;2011;-;;3;2014;Ativa
774;SOCIEDADE EDUCACIONAL DR. BLUMENAU LTDA;03.170.731/0001-73;Privada com fins lucrativos;1138;CENTRO DE EDUCAÇÃO SUPERIOR DE BLUMENAU (CESBLU);CESBLU;Rua Capitão Santos - 145 - s/c - CEP: 89020-060 - Garcia;Blumenau;SC;Faculdade;Presencial - Superior;Privada;Privada com fins lucrativos;-;;-;;3;2008;Ativa
31;FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS;17.319.831/0001-23;Pessoa Jurídica de Direito Público - Estadual;31;CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG (UTRAMIG);UTRAMIG;Avenida Afonso Pena - 3400 - s/c - CEP: 30130-009 - CRUZEIRO;Belo Horizonte;MG;Faculdade;Presencial - Superior;Pública;Pública Estadual;-;;-;;-;;Ativa
